index,critical_temp
0,42.110790116946355
1,25.406623166567485
2,68.58485279795201
3,62.682027956894196
4,66.684339070824
5,74.04557909134155
6,66.52908022850025
7,52.66697921850731
8,56.71200239375265
9,72.3807213860052
10,23.59659486588077
11,21.182249975222263
12,66.79988409559255
13,66.63138412209855
14,68.94309218195448
15,68.94309218195448
16,68.94309218195448
17,68.94309218195448
18,75.98293627125881
19,49.80130795939812
20,48.833686457112954
21,66.26030943381576
22,19.016896151678708
23,68.85319179586372
24,69.27816612725948
25,70.51712195088629
26,23.59659486588077
27,66.60824184623519
28,82.50153520957639
29,82.8648892681845
30,27.778747370229965
31,94.55819487259154
32,97.57234999563161
33,79.8249718510769
34,94.18598824705734
35,69.38103101551644
36,66.72254050026339
37,66.8101613413049
38,69.07905911766775
39,65.08633282191849
40,74.07593620904402
41,73.37693272009022
42,21.93855352723034
43,84.23445022447552
44,68.94309218195448
45,84.23445022447552
46,51.79976964572197
47,69.38228303810052
48,69.55466671901854
49,75.78614536814572
50,75.60844025653066
51,71.99672121379066
52,66.29705159306988
53,63.02861855003351
54,66.63138412209855
55,81.61948679545745
56,80.0412439608215
57,79.46642491368041
58,40.909426090981235
59,42.3190583982478
60,69.12591260845699
61,79.8249718510769
62,69.10914516364011
63,71.92686332197312
64,74.23684455936777
65,69.30087532735183
66,71.76676498177002
67,67.07926734835351
68,72.45992024893843
69,79.8249718510769
70,81.82621545295473
71,64.31245168375088
72,72.56671980496438
73,65.90883750260201
74,23.59659486588077
75,79.21814927761497
76,35.25885692965865
77,33.391762319974596
78,69.04237151414773
79,66.66568007939443
80,65.63142603419544
81,67.39926885077233
82,60.38884327183553
83,22.66139052817108
84,62.72170164206393
85,26.668372648606336
86,69.27816612725948
87,54.86232227356515
88,69.85783403765254
89,69.87594142175334
90,70.71622450369793
91,69.55363366413872
92,70.66120687139156
93,79.65599104856085
94,73.87068230991062
95,74.83261035481038
96,53.939071213584945
97,21.84719735001887
98,63.93667516398926
99,60.3815388244418
100,57.54829774371628
101,66.40353023613073
102,67.3748142750525
103,80.85155046291428
104,78.64516241722006
105,82.12668659988083
106,75.81313462932235
107,78.3091386121408
108,63.20524396276938
109,73.21513479909211
110,72.83515692595358
111,72.58657060929909
112,72.08308538470806
113,59.02906525989744
114,65.66727621344558
115,64.78180581763141
116,65.66727621344558
117,72.67597333730035
118,61.901928622099284
119,60.751757340367824
